text_id,text_uri,title_ar,title_lat,author_id,ed_info,collection,tok_length,page_count,volumes,tags
JK001039,0281IbnAbiDunya.IshrafFiManazil.JK001039-ara1.mARkdown,الاشراف في منازل الأشراف,al-išrāf fī manāzil al-ašrāf,0281IbnAbiDunya,http://www.worldcat.org/oclc/1107156032 :: د نجم عبد الرحمن خلف :: الرياض - السعودية :: 1411هـ 1990م :: مكتبة الرشد,al-Jāmiʿ al-Kabīr,29744,242,1,ShamAY@كتب ابن أبي الدنيا :: JK@كتب ابن أبي الدنيا :: JK@كتب الأخلاق والسلوك :: Shamela@كتب ابن أبي الدنيا :: born@Iraq_RE :: born@BAGHDAD_443E333N_S :: MISSING_PARTS :: MANY_TYPOS :: PRIMARY_VERSION :: CLEANED_VERSION :: MARKDOWN
JK001040,0281IbnAbiDunya.IslahMal.JK001040-ara1.mARkdown,اصلاح المال,iṣlāḥ al-māl,0281IbnAbiDunya,http://www.worldcat.org/oclc/31677898 :: محمد عبد القادر عطا :: بيروت - لبنان :: 1414هـ - 1993هـ :: مؤسسة الكتب الثقافية,al-Jāmiʿ al-Kabīr,22463,123,1,_AKHLAQ :: _IBNABIDUNYA
Shamela0006022,0281IbnAbiDunya.IstinacMacruf.Shamela0006022-ara1.mARkdown,اصطناع المعروف,iṣṭināʿ al-maʿrūf,0281IbnAbiDunya,http://www.worldcat.org/oclc/4771246761 :: محمد خير رمضان يوسف :: دار ابن حزم,al-Maktaba al-Shāmila,10546,124,1,_HADITH :: _AKHLAQ :: _IBNABIDUNYA :: _SUNNI
Shamela0009306,0281IbnAbiDunya.Juc.Shamela0009306-ara1.mARkdown,الجوع,al-ǧūʿ,0281IbnAbiDunya,http://www.worldcat.org/oclc/956987804 :: محمد خير رمضان يوسف :: دار ابن حزم، بيروت لبنان,al-Maktaba al-Shāmila,15615,165,1,ShamAY@كتب ابن أبي الدنيا :: Shamela@كتب ابن أبي الدنيا :: born@Iraq_RE :: born@BAGHDAD_443E333N_S :: NO_MAJOR_ISSUES :: PRIMARY_VERSION :: CLEANED_VERSION :: MARKDOWN
Shamela0008242,0281IbnAbiDunya.KalamLayali.Shamela0008242-ara1.mARkdown,كلام الليالي والأيام,Kalām al-layālī wa-l-ayyām,0281IbnAbiDunya,http://www.worldcat.org/oclc/38492729 :: محمد خير رمضان يوسف :: دار ابن حزم، بيروت - لبنان,al-Maktaba al-Shāmila,3603,66,1,ShamAY@كتب ابن أبي الدنيا :: Shamela@كتب ابن أبي الدنيا :: born@Iraq_RE :: born@BAGHDAD_443E333N_S :: PAGINATION :: PRIMARY_VERSION :: CLEANED_VERSION :: MARKDOWN
Shamela0008061,0281IbnAbiDunya.MakaidShaytan.Shamela0008061-ara1.mARkdown,مكاءد الشيطان,Makāʾd al-Šayṭān,0281IbnAbiDunya,,al-Maktaba al-Shāmila,6432,53,1,_IBNABIDUNYA
JK000015,0281IbnAbiDunya.MakarimAkhlaq.JK000015-ara1.mARkdown,مكارم الأخلاق,Makārim al-aḫlāq,0281IbnAbiDunya,http://www.worldcat.org/oclc/4771087970 :: مجدي السيد إبراهيم :: القاهرة :: 1411 - 1990 :: مكتبة القرآن,al-Jāmiʿ al-Kabīr,30437,141,1,_HADITH :: _AKHLAQ :: _IBNABIDUNYA :: _SUNNI
JK000038,0281IbnAbiDunya.Manamat.JK000038-ara1.mARkdown,كتاب المنامات :: المنامات,kitāb al-manāmāt,0281IbnAbiDunya,http://www.worldcat.org/oclc/4770036104 :: عبد القادر أحمد عطا :: بيروت :: 1413 - 1993 :: مؤسسة الكتب الثقافية,al-Jāmiʿ al-Kabīr,24208,148,1,_HADITH :: _AHLAM :: _CAQAID :: _IBNABIDUNYA
JK000908,0281IbnAbiDunya.ManCashaBacdaMawt.JK000908-ara1.mARkdown,كتاب من عاش بعد الموت,kitāb man ʿāša baʿda al-mawt,0281IbnAbiDunya,http://www.worldcat.org/oclc/4771307459 :: محمد حسام بيضون :: بيروت :: 1413 :: مؤسسة الكتب الثقافية,al-Jāmiʿ al-Kabīr,8154,48,1,_HADITH :: _CAQAID :: _IBNABIDUNYA :: _MILAL
Shamela0012751,0281IbnAbiDunya.MaqtalCali.Shamela0012751-ara1.mARkdown,كتاب مقتل أمير المؤمنين علي بن أبي طالب عليه السلام :: مقتل علي بن أبي طالب,Kitāb Maqtal amīr al-muʾminīn ʿAlī b. Abī Ṭālib ʿalayhi al-salām,0281IbnAbiDunya,http://www.worldcat.org/oclc/4771118049 :: إبراهيم صالح :: دار البشائر - دمشق,al-Maktaba al-Shāmila,11553,86,1,_IBNABIDUNYA
JK000014,0281IbnAbiDunya.MaradWaKaffarat.JK000014-ara1.completed,كتاب المرض والكفارات,kitāb al-maraḍ wa-l-kaffārāt,0281IbnAbiDunya,http://www.worldcat.org/oclc/122861104 :: عبد الوكيل الندوي :: بومباي :: 1411 - 1991 :: الدار السلفية,al-Jāmiʿ al-Kabīr,14693,190,1,ShamAY@كتب ابن أبي الدنيا :: JK@كتب ابن أبي الدنيا :: JK@كتب الأخلاق والسلوك :: Shamela@كتب ابن أبي الدنيا :: born@Iraq_RE :: born@BAGHDAD_443E333N_S :: NO_MAJOR_ISSUES :: PRIMARY_VERSION :: CLEANED_VERSION :: COMPLETED
Shamela0008273,0281IbnAbiDunya.MatarWaRacd.Shamela0008273-ara1.mARkdown,كتاب المطر والرعد والبرق والريح,kitāb al-maṭar wa-l-raʿd wa-l-barq wa-l-rīḥ,0281IbnAbiDunya,http://www.worldcat.org/oclc/38959944 :: طارق محمد سكلوع العمودي :: دار ابن الجوزي، الدمام - السعودية,al-Maktaba al-Shāmila,9420,103,1,ShamAY@كتب ابن أبي الدنيا :: Shamela@كتب ابن أبي الدنيا :: born@Iraq_RE :: born@BAGHDAD_443E333N_S :: PAGINATION :: PRIMARY_VERSION :: CLEANED_VERSION :: MARKDOWN
Shamela0013152,0281IbnAbiDunya.MudaratNas.Shamela0013152-ara1.mARkdown,مداراة الناس,Mudārāŧ al-nās,0281IbnAbiDunya,http://www.worldcat.org/oclc/784525449 :: محمد خير رمضان يوسف :: دار ابن حزم - بيروت - لبنان,al-Maktaba al-Shāmila,8501,188,1,_AKHLAQ :: _IBNABIDUNYA
Shamela0012739,0281IbnAbiDunya.MuhasabatNafs.Shamela0012739-ara1.mARkdown,محاسبة النفس والازراء عليها,Muḥāsabaŧ al-nafs wa-l-izrāʾ ʿalayhā,0281IbnAbiDunya,http://www.worldcat.org/oclc/4770279901 :: المسعتصم بالله أبي هريرة مصطفى بن علي بن عوض :: دار الكتب العلمية، بيروت,al-Maktaba al-Shāmila,9441,156,1,_AKHLAQ :: _IBNABIDUNYA
Shamela0013058,0281IbnAbiDunya.Muhtadarin.Shamela0013058-ara1.mARkdown,كتاب المحتضرين :: المحتضرين,kitāb al-muḥtaḍarīn,0281IbnAbiDunya,http://www.worldcat.org/oclc/4770612700 :: محمد خير رمضان يوسف :: دار ابن حزم - بيروت - لبنان,al-Maktaba al-Shāmila,23119,370,1,_AKHLAQ :: _IBNABIDUNYA :: _MISC
Shamela0012936,0281IbnAbiDunya.MujabuDacwa.Shamela0012936-ara1.mARkdown,كتاب مجابي الدعوة,Kitāb muǧābī al-daʿwaŧ,0281IbnAbiDunya,http://www.worldcat.org/oclc/4770842726 :: المهندس الشيخ زياد حمدان :: مؤسسة الكتب الثقافية، بيروت - لبنان,al-Maktaba al-Shāmila,11958,195,1,_AKHLAQ :: _IBNABIDUNYA
JK001194,0281IbnAbiDunya.Mutamannin.JK001194-ara1.mARkdown,كتاب المتمنين,Kitāb al-mutamannīn,0281IbnAbiDunya,http://www.worldcat.org/oclc/38958892 :: محمد خير رمضان يوسف :: بيروت - لبنان :: 1418هـ - 1997م :: دار ابن حزم,al-Jāmiʿ al-Kabīr,7708,76,1,_AKHLAQ :: _IBNABIDUNYA
JK000654,0281IbnAbiDunya.QadaHawaij.JK000654-ara1,قضاء الحوائج,Qada Hawaij,0281IbnAbiDunya,مجدي السيد إبراهيم :: القاهرة :: مكتبة القرآن,al-Jāmiʿ al-Kabīr,7834,82,1,_HADITH :: _AKHLAQ :: _IBNABIDUNYA :: _SUNNI
Shamela0022347,0281IbnAbiDunya.Qanaca.Shamela0022347-ara1.mARkdown,كتاب القناعة والتعفف,kitāb al-qanāʿŧ wa-l-taʿaffuf,0281IbnAbiDunya,http://www.worldcat.org/oclc/680379525 :: مصطفى عبد القادر عطا :: مؤسسة الكتب الثقافية، بيروت - لبنان,al-Maktaba al-Shāmila,9508,65,1,ShamAY@كتب ابن أبي الدنيا :: Shamela@كتب ابن أبي الدنيا :: born@Iraq_RE :: born@BAGHDAD_443E333N_S :: NO_MAJOR_ISSUES :: PRIMARY_VERSION :: CLEANED_VERSION :: MARKDOWN
JK009174,0281IbnAbiDunya.QasrAmal.JK009174-ara1.mARkdown,قصر الأمل,qaṣr al-amal,0281IbnAbiDunya,http://www.worldcat.org/oclc/680379525 :: محمد خير رمضان يوسف :: لبنان / بيروت :: 1417هـ - 1997م :: دار ابن حزم,al-Jāmiʿ al-Kabīr,19690,189,1,_HADITH
Shamela0011030,0281IbnAbiDunya.QiraDayf.Shamela0011030-ara1.mARkdown,قرى الضيف,qirá al-ḍayf,0281IbnAbiDunya,http://www.worldcat.org/oclc/744557832 :: عبد الله بن حمد المنصور :: أضواء السلف، الرياض - السعودية,al-Maktaba al-Shāmila,5220,68,1,_IBNABIDUNYA
Shamela0010628,0281IbnAbiDunya.Qubur.Shamela0010628-ara1.mARkdown,كتاب القبور,Kitāb al-qubūr,0281IbnAbiDunya,http://www.worldcat.org/oclc/4770558965 :: طارق محمد سكلوع العمود :: مكتبة الغرباء الأثرية,al-Maktaba al-Shāmila,17195,275,1,_IBNABIDUNYA
ShamAY0038149,0281IbnAbiDunya.RasailFiTawakkul.ShamAY0038149-ara1,التوكل على الله عز وجل  :: التوكل على الله عز وجل لابن أبي الدنيا - ط أطلس الخضراء = مقابل :: التوكل على الله عز وجل,Rasail Fi Tawakkul,0281IbnAbiDunya,فاضل بن خلف الحمادة الرقي :: الأولى، 1433 ه - 2012 م :: دار أطلس الخضراء - الرياض,al-Maktaba al-Shāmila AY,3481,64,2,ShamAY@كتب ابن أبي الدنيا :: born@Iraq_RE :: born@BAGHDAD_443E333N_S :: PRIMARY_VERSION :: CLEANED_VERSION
JK000700,0281IbnAbiDunya.Rida.JK000700-ara1.mARkdown,الرضا عن الله بقضائه,al-Riḍā ʿan Allāh bi-qaḍāʾih,0281IbnAbiDunya,http://www.worldcat.org/oclc/29700712 :: ضياء الحسن السلفي :: بومباي :: 1410 :: الدار السلفية,al-Jāmiʿ al-Kabīr,6980,80,1,_HADITH :: _SUNNI
Shamela0008256,0281IbnAbiDunya.RiqqaWaBuka.Shamela0008256-ara1.completed,الرققة والبكاء,al-riqqŧ wa-l-bukāʾ,0281IbnAbiDunya,http://www.worldcat.org/oclc/4770110830 :: محمد خير رمضان يوسف :: دار ابن حزم، بيروت - لبنان,al-Maktaba al-Shāmila,23444,447,1,_IBNABIDUNYA
Shamela0008259,0281IbnAbiDunya.Sabr.Shamela0008259-ara1.mARkdown,الصبر والثواب عليه,al-ṣabr wa-l-ṯawāb ʿalayh,0281IbnAbiDunya,http://www.worldcat.org/oclc/782054164 :: محمد خير رمضان يوسف :: دار ابن حزم، بيروت - لبنان,al-Maktaba al-Shāmila,12633,201,1,ShamAY@كتب ابن أبي الدنيا :: Shamela@كتب ابن أبي الدنيا :: born@Iraq_RE :: born@BAGHDAD_443E333N_S :: PAGINATION :: PRIMARY_VERSION :: CLEANED_VERSION :: MARKDOWN
Shamela0013039,0281IbnAbiDunya.Samt.Shamela0013039-ara1.mARkdown,كتاب الصمت و آداب اللسان,Kitāb al-ṣamt wa ādāb al-lisān,0281IbnAbiDunya,http://www.worldcat.org/oclc/4770215152 :: أبو إسحاق الحويني :: دار الكتاب العربي - بيروت,al-Maktaba al-Shāmila,33039,788,1,_HADITH :: _AKHLAQ :: _IBNABIDUNYA :: _SUNNI
JK000013,0281IbnAbiDunya.Shukr.JK000013-ara1.mARkdown,الشكر,al-šukr,0281IbnAbiDunya,http://www.worldcat.org/oclc/4770100099 :: بدر البدر :: الكويت :: 1400 - 1980 :: المكتب الإسلامي,al-Jāmiʿ al-Kabīr,11152,70,1,_AKHLAQ :: _IBNABIDUNYA
Shamela0008234,0281IbnAbiDunya.SifatJanna.Shamela0008234-ara1.completed,صفة الجنة لابن أبي الدنيا,Sifat Janna,0281IbnAbiDunya,http://www.worldcat.org/oclc/236029714 :: عمرو عبد المنعم سليم :: مكتبة ابن تيمية، القاهرة- مصر، مكتبة العلم، جدة - السعودية,al-Maktaba al-Shāmila,22964,375,1,_HADITH :: _CAQAID :: _IBNABIDUNYA :: _MILAL
