text_id,text_uri,title_ar,title_lat,ed_info,collection,tok_length,volumes,page_count,author_id,tags
GRAR000066,0200YahyaIbnBitriq.Thulujiya.GRAR000066-ara1,ما استخرجه الاسكندر الأفروديسي من كتاب¶    أرسطوطاليس¶    المسمى ثولوجيا ومعناه الكلام في الربوبية :: قول استخرجه الاسكندر من كتاب ثالوجيا أي¶    الربوبية,Mā istaḫrajahu al-Iskandar al-Afrūdīsī min Kitāb¶    Arisṭūṭālīs¶    al-musammá Ṯūlūjiyā wa-maʿnāhu al-kalām fī al-rubūbiyyaŧ,http://www.worldcat.org/oclc/841196 :: https://www.graeco-arabic-studies.org/single-text/text/endress-93.html,Graeco-Arabic Studies,4555,1,36,0200YahyaIbnBitriq,_GRAECO_ARABIC
Shamela0012851,0200YahyaIbnSalam.Tafsir.Shamela0012851-ara1,تفسير يحيى بن سلام,Tafsir,"الدكتورة هند شلبي :: دار الكتب العلمية، بيروت - لبنان",al-Maktaba al-Shāmila,148011,2,802,0200YahyaIbnSalam,_TAFSIR
Shamela0011783,0200YahyaIbnSalam.Tasarif.Shamela0011783-ara1,التصاريف لتفسير القرآن مما اشتبهت أسمائه وتصرفت معانيه,Tasarif,1979 م :: الشركة التونسية للتوزيع,al-Maktaba al-Shāmila,26539,1,253,0200YahyaIbnSalam,_CULUM :: _QURAN
ShamAY0032820,0201CaliIbnCasim.Hadith.ShamAY0032820-ara1,جزء فيه من حديث علي بن عاصم عن شيوخه - مخطوط :: من حديث علي بن عاصم عن شيوخه - مخطوط,Hadith,nan,al-Maktaba al-Shāmila AY,1691,1,8,0201CaliIbnCasim,_HADITH
Masaha002300,0203CaliRida.RisalaDhahabiyya.Masaha002300-ara1,الرسالة الذهبية,Risala Dhahabiyya,دار الخيام‏,Masāḥa,3642,1,64,0203CaliRida,NODATA
Zaydiyya0000121,0203CaliRida.Sahifa.Zaydiyya0000121-ara1.completed,صحيفة علي بن موسى الرضى,Sahifa,http://www.worldcat.org/oclc/22068398,al-Shāmila al-Zaydiyya,8872,1,57,0203CaliRida,_HADITH
Shia001268,0203IbnSulaymanGhazi.MusnadRida.Shia001268-ara1,مسند الرضا (ع),Musnad Rida,https://www.worldcat.org/title/784526249 :: محمد جواد الحسيني الجلالي :: 1418,al-Shāmila al-Shīʿiyya,1313,1,10,0203IbnSulaymanGhazi,_HADITH :: _SHICI
JK000258,0203YahyaIbnAdam.Kharaj.JK000258-ara1,الخراج :: كتاب الخراج,Kharaj,لاهور - باكستان :: 1974 :: المكتبة العلمية,al-Jāmiʿ al-Kabīr,28410,1,186,0203YahyaIbnAdam,_HADITH :: _USUL :: _AJZA :: _MASAIL :: _FIQH
JK000470,0204AbuDawudTayalisi.Musnad.JK000470-ara1,مسند أبي داود الطيالسي :: مسند الطيالسي,Musnad,بيروت :: - :: دار المعرفة,al-Jāmiʿ al-Kabīr,163205,1,362,0204AbuDawudTayalisi,_HADITH :: _MACAJIM :: _TARAJIM :: _SUNNI :: _MASANID
JK007059,0204IbnKalbi.Asnam.JK007059-ara1,كتاب الإصنام :: الأصنام,Asnam,أحمد زكي باشا :: القاهرة :: 2000م :: دار الكتب المصرية,al-Jāmiʿ al-Kabīr,6535,1,61,0204IbnKalbi,_CAQAID :: _MILAL
JK010504,0204IbnKalbi.JamharatAnsab.JK010504-ara1,جمهرة أنساب العرب لابن الكلبي,Jamharat Ansab,nan,al-Jāmiʿ al-Kabīr,20833,1,34,0204IbnKalbi,_BULDAN :: _ANSAB :: _TARIKH
Shamela0009249,0204IbnKalbi.NasabKhayl.Shamela0009249-ara1.mARkdown,أنساب الخيل في الجاهلية والاسلام وأخبارها :: أنساب الخيل,Ansāb al-ḫayl fī al-jāhiliyyaŧ wa-al-islām wa-aḫbārihā,"http://www.worldcat.org/oclc/1103828993 :: الأستاذ الدكتور حاتم صالح الضامن :: دار البشائر، دمشق - سورية",al-Maktaba al-Shāmila,6277,1,50,0204IbnKalbi,_GHARIB :: _MACAJIM :: _BALAGHA :: _ADAB :: _MUSTALAHAT
Shamela0028172,0204IbnKalbi.NasabMacad.Shamela0028172-ara1.completed,نسب معد واليمن الكبير,Nasab Macad,"http://www.worldcat.org/oclc/745129778 :: الدكتور ناجي حسن :: عالم الكتب، مكتبة النهضة العربية",al-Maktaba al-Shāmila,88060,2,720,0204IbnKalbi,_BULDAN :: _ANSAB :: _TARIKH
JK000439,0204Shafici.AhkamQuran.JK000439-ara1,أحكام القرآن :: أحكام القرآن للشافعي,Ahkam Quran,عبد الغني عبد الخالق :: بيروت :: 1400 :: دار الكتب العلمية,al-Jāmiʿ al-Kabīr,47586,2,498,0204Shafici,_CULUM :: _HADITH :: _GHARIB :: _TAFSIR :: _AHKAM :: _QURAN :: _SUNNI
JK007599,0204Shafici.Diwan.JK007599-ara1,ديوان الإمام الشافعي,Diwan,nan,al-Jāmiʿ al-Kabīr,4345,1,124,0204Shafici,_SHICR
JK000560,0204Shafici.IkhtilafHadith.JK000560-ara1,اختلاف الحديث,Ikhtilaf Hadith,عامر أحمد حيدر :: بيروت :: 1405 - 1985 :: مؤسسة الكتب الثقافية,al-Jāmiʿ al-Kabīr,54647,1,86,0204Shafici,_HADITH :: _USUL :: _AHKAM :: _MUSHKIL :: _MASAIL :: _FIQH :: _TARAJIM :: _SHARH :: _SUNNI :: _CILAL
